Temperature (°C),Pressure (bar),CO2 Concentration (%),Flow Rate (m³/h),Sorbent Type,Surface Area (m²/g),Pore Size (nm),Stability (1-10),pH Level,CO2 Outlet Concentration (%),Energy Consumption (MJ/kg CO2),Cycle Time (min),Capture Efficiency (%),Regeneration Temp (°C),Solvent Concentration (%),Reactor Volume (m³),Residence Time (s),Reboiler Duty (kW),Column Height (m),CO2 Emitted (kg/hr),Energy Used Efficiently (MJ)
101.47,3.77,6.69,683.7,Amine-Grafted Silica,900.0,1.1,8,6.94,1.03,3.91,47.9,63.26,110.01,15.05,7.74,147.62,3960.17,17.96,75.85,110.33
79.29,4.69,12.66,1437.41,MEA,0.5,1.2,7,6.85,2.7,4.42,46.45,56.94,134.18,17.56,5.07,149.86,2164.34,21.82,280.61,184.75
90.07,2.78,19.84,723.23,Zeolite 13X,600.0,1.0,8,5.92,0.57,4.12,14.9,78.17,117.87,36.25,1.29,62.06,1232.98,49.39,273.16,136.89
31.13,1.44,14.17,756.01,MOF-5,3500.0,0.8,9,6.66,2.15,4.56,43.92,71.2,83.74,18.44,4.35,281.06,3011.04,41.13,178.11,117.79
41.01,2.75,19.49,1857.1,Amine-Grafted Silica,900.0,1.1,8,5.02,4.79,5.18,51.0,89.79,109.74,34.98,2.88,229.25,4989.73,15.95,535.07,321.29
115.73,9.91,6.62,653.63,Amine-Grafted Silica,900.0,1.1,8,6.66,1.04,5.42,10.6,55.79,106.73,36.8,8.06,204.33,4208.18,9.62,71.49,67.16
99.87,9.91,19.34,1077.09,Activated Carbon,1200.0,1.5,6,6.56,0.84,3.74,54.35,91.02,86.37,14.18,3.81,239.85,3226.16,15.82,390.55,261.43
78.89,9.6,17.45,1755.53,Amine-Grafted Silica,900.0,1.1,8,7.04,2.14,5.66,58.98,55.04,133.4,12.15,3.59,129.41,1515.85,28.8,526.79,170.41
32.72,4.6,13.61,1151.55,MEA,0.5,1.2,7,8.82,1.22,2.08,12.96,68.41,93.0,16.53,8.76,49.37,1568.52,45.57,279.65,376.93
81.48,6.51,13.53,1025.45,MEA,0.5,1.2,7,6.45,4.74,5.08,27.34,65.71,120.48,19.09,8.58,298.84,1276.25,34.85,176.67,132.38
83.81,4.95,10.36,377.49,MOF-5,3500.0,0.8,9,6.96,2.11,2.51,9.96,94.24,87.19,32.79,5.35,28.95,2924.11,7.62,61.04,141.17
41.91,4.46,11.12,153.26,MOF-5,3500.0,0.8,9,5.93,4.1,4.2,24.41,80.77,128.74,25.8,9.67,20.62,3397.94,47.41,21.09,29.4
103.91,3.18,19.69,1608.77,Activated Carbon,1200.0,1.5,6,6.28,1.03,5.3,55.99,84.0,123.97,39.26,6.21,165.36,3598.59,41.43,588.39,254.49
90.92,4.05,14.23,774.09,Zeolite 13X,600.0,1.0,8,8.73,3.43,4.4,48.18,55.49,99.93,21.8,5.19,139.71,3406.86,18.02,163.86,97.4
99.03,9.23,9.79,1731.14,Zeolite 13X,600.0,1.0,8,7.56,3.55,2.94,42.13,66.55,142.21,39.31,2.59,296.62,3302.63,30.85,211.73,390.53
113.2,6.69,16.32,1595.79,Amine-Grafted Silica,900.0,1.1,8,8.99,2.78,2.33,52.28,56.61,96.79,33.46,5.2,77.92,2529.48,20.22,423.5,386.06
119.9,3.83,12.5,106.91,MOF-5,3500.0,0.8,9,8.37,3.91,2.66,29.24,61.58,133.28,15.36,6.96,134.83,2203.68,19.1,18.0,24.66
96.9,3.84,5.65,249.58,MOF-5,3500.0,0.8,9,8.54,0.69,3.39,38.03,80.82,101.0,37.55,1.28,77.08,4470.82,25.59,24.26,59.33
101.72,3.46,11.26,894.74,Activated Carbon,1200.0,1.5,6,8.35,3.14,2.97,31.1,62.97,126.53,23.74,6.65,168.57,1939.22,37.41,142.4,189.07
74.17,7.0,14.25,242.21,MEA,0.5,1.2,7,8.8,3.22,5.14,39.41,66.28,134.06,27.95,1.07,163.68,2081.82,23.71,52.36,31.17
44.29,6.92,13.73,1956.01,MEA,0.5,1.2,7,5.8,1.0,3.26,24.01,91.16,122.16,24.54,4.82,186.84,4165.18,12.54,488.04,545.29
72.81,6.93,11.75,417.14,Activated Carbon,1200.0,1.5,6,8.55,1.82,3.34,18.07,67.57,133.52,37.16,1.35,69.33,1871.22,7.19,81.19,84.14
118.57,7.98,18.09,1442.13,Activated Carbon,1200.0,1.5,6,8.4,3.27,3.38,57.88,71.82,112.9,39.77,1.27,211.98,1644.64,21.87,418.9,305.53
46.61,7.25,16.78,1143.34,Amine-Grafted Silica,900.0,1.1,8,7.72,4.06,3.58,31.07,71.0,141.63,24.01,4.63,75.71,4267.38,28.21,285.05,226.12
115.33,1.42,6.51,1998.26,Amine-Grafted Silica,900.0,1.1,8,7.85,3.21,3.83,31.75,59.49,114.88,13.57,3.54,132.4,4194.61,16.81,129.25,309.57
48.47,3.86,10.54,1168.46,MOF-5,3500.0,0.8,9,6.41,3.2,5.72,15.01,52.58,86.94,21.64,1.93,167.26,2544.35,48.11,168.1,107.22
36.25,5.95,14.4,477.71,MOF-5,3500.0,0.8,9,7.46,1.93,2.46,34.82,67.33,138.67,23.77,8.69,287.9,4071.11,24.71,116.76,130.22
76.62,7.1,8.77,1178.11,Amine-Grafted Silica,900.0,1.1,8,8.75,1.44,3.12,18.18,84.56,88.88,27.55,5.41,188.23,1234.16,10.67,169.26,318.28
82.96,1.39,13.47,1033.02,Activated Carbon,1200.0,1.5,6,5.07,3.48,3.69,20.67,60.06,80.2,15.57,5.32,175.22,1052.76,26.38,202.27,167.68
55.64,2.28,11.95,1640.95,Zeolite 13X,600.0,1.0,8,5.24,3.02,5.25,27.98,95.77,90.81,35.53,0.74,255.34,1907.89,47.32,287.21,298.77
87.14,6.11,16.12,1232.28,Activated Carbon,1200.0,1.5,6,8.81,2.84,2.29,23.12,89.64,146.44,14.17,7.65,77.9,3421.37,46.68,320.75,480.27
34.12,1.47,8.03,1243.2,MOF-5,3500.0,0.8,9,6.03,0.96,2.86,33.13,98.41,89.76,32.76,2.87,214.09,4434.14,23.79,172.27,426.28
69.09,7.02,9.48,670.36,Amine-Grafted Silica,900.0,1.1,8,8.78,2.54,5.68,42.69,70.58,108.1,26.55,2.75,151.49,4456.05,30.27,91.19,83.15
116.72,6.43,16.96,1408.96,Zeolite 13X,600.0,1.0,8,8.16,0.82,4.34,15.83,59.82,97.1,31.99,4.81,76.76,1160.52,43.39,445.72,193.76
65.53,4.17,10.42,1397.61,MOF-5,3500.0,0.8,9,7.1,2.66,5.68,14.0,61.48,134.76,12.41,3.06,233.88,1615.7,31.45,212.57,151.01
81.36,8.34,15.36,610.13,MOF-5,3500.0,0.8,9,6.04,0.74,3.68,53.77,58.23,95.97,33.13,6.58,196.26,1652.13,21.39,174.83,96.28
91.83,2.72,19.0,422.69,MOF-5,3500.0,0.8,9,6.81,2.72,5.3,6.41,72.77,135.76,25.43,9.15,67.78,4570.55,36.32,134.88,57.93
102.82,9.9,10.34,1446.96,Activated Carbon,1200.0,1.5,6,7.67,4.61,5.31,12.89,85.56,139.79,19.07,3.55,228.69,1778.62,40.12,162.51,232.71
89.19,6.58,12.41,1459.49,Amine-Grafted Silica,900.0,1.1,8,7.58,0.85,2.4,32.55,96.35,125.07,36.79,0.67,186.7,2422.45,14.0,330.69,583.49
95.18,8.92,8.1,1208.88,Amine-Grafted Silica,900.0,1.1,8,6.22,2.18,5.67,54.1,60.26,135.02,11.2,2.61,212.42,4524.91,22.91,140.27,128.25
80.79,1.59,7.4,1282.19,MEA,0.5,1.2,7,5.67,1.74,5.87,44.48,73.13,108.31,23.85,7.03,248.85,932.2,40.41,142.24,159.47
79.35,4.52,16.88,364.15,MEA,0.5,1.2,7,7.76,1.25,4.02,56.56,86.4,142.69,14.67,7.28,114.36,3757.66,19.34,111.56,78.07
73.32,3.62,12.76,938.11,MOF-5,3500.0,0.8,9,8.13,1.13,5.31,10.3,50.59,91.94,28.1,9.36,153.0,4096.52,13.85,213.84,89.21
93.01,6.55,12.23,667.09,MEA,0.5,1.2,7,8.79,0.83,4.6,18.93,85.31,138.49,33.73,6.84,172.22,3254.64,31.12,149.05,123.45
31.22,7.72,19.47,854.01,MEA,0.5,1.2,7,8.75,2.75,2.78,5.11,81.51,112.39,38.25,1.15,126.41,3242.1,28.23,279.87,249.5
109.28,2.54,6.61,1921.84,MOF-5,3500.0,0.8,9,5.72,0.51,4.63,44.13,84.78,98.8,28.33,6.95,171.04,957.96,6.99,229.78,351.15
77.95,1.53,6.3,151.65,Activated Carbon,1200.0,1.5,6,5.08,3.48,5.75,14.17,80.44,82.77,16.07,7.6,263.85,2824.39,22.34,8.38,21.18
116.72,2.07,14.58,785.38,Activated Carbon,1200.0,1.5,6,7.87,2.59,2.13,16.1,93.22,136.38,32.92,9.95,67.42,2885.28,46.28,184.57,342.12
88.13,5.51,13.9,1567.6,Zeolite 13X,600.0,1.0,8,6.04,3.29,2.91,40.29,92.56,112.46,38.22,2.57,281.29,3855.57,46.34,325.99,496.91
87.65,8.36,8.75,1015.89,MEA,0.5,1.2,7,7.74,4.19,2.1,14.15,58.23,106.66,16.02,4.75,263.61,4397.51,17.77,90.8,280.36
66.1,9.09,17.17,1916.46,MOF-5,3500.0,0.8,9,8.92,2.37,3.67,12.78,60.62,140.07,29.63,1.91,222.97,2665.35,16.63,555.93,315.7
96.88,1.52,14.46,1828.34,MOF-5,3500.0,0.8,9,6.79,2.71,5.91,45.49,82.97,134.8,30.38,3.62,184.98,3147.41,14.46,421.07,256.25
107.49,8.17,19.07,189.28,Zeolite 13X,600.0,1.0,8,6.75,4.81,2.3,11.55,71.75,134.69,33.06,6.05,205.79,2956.54,49.0,52.9,58.79
76.14,9.91,12.28,1292.54,Amine-Grafted Silica,900.0,1.1,8,7.41,0.91,4.91,30.84,93.04,98.33,33.62,4.79,26.15,1092.93,21.3,288.05,244.43
86.34,4.03,11.01,1093.73,MOF-5,3500.0,0.8,9,5.98,1.91,3.34,47.44,56.48,109.95,33.23,5.33,297.66,2704.16,42.44,195.08,184.4
50.27,4.54,11.84,351.16,Activated Carbon,1200.0,1.5,6,5.29,4.12,5.73,23.29,50.12,144.82,39.3,1.67,72.71,1287.26,19.13,53.13,30.66
43.94,6.29,7.24,296.77,MEA,0.5,1.2,7,5.0,0.63,5.83,30.55,68.72,90.29,21.93,1.65,83.84,3476.87,49.83,38.45,34.92
119.1,8.0,19.29,1200.13,Zeolite 13X,600.0,1.0,8,7.2,2.99,4.69,20.81,64.28,102.71,17.82,2.99,288.99,4792.61,33.35,383.42,164.14
41.34,8.63,11.44,1792.94,MOF-5,3500.0,0.8,9,5.76,4.46,3.66,11.25,68.13,107.13,37.26,3.06,219.04,2001.27,45.72,245.29,332.84
59.27,8.85,16.88,1642.5,Amine-Grafted Silica,900.0,1.1,8,5.17,1.95,6.0,31.4,77.62,93.08,22.77,1.27,100.76,1336.23,6.23,480.64,212.13
34.19,6.49,7.94,215.14,Amine-Grafted Silica,900.0,1.1,8,8.24,4.25,2.02,22.7,77.65,93.75,11.01,5.36,292.1,4537.66,13.46,15.56,82.29
36.4,4.86,17.11,1525.43,Activated Carbon,1200.0,1.5,6,6.29,2.81,3.39,20.31,77.84,89.29,36.02,9.82,184.54,2953.97,21.17,427.55,349.23
107.69,1.8,5.98,487.05,MEA,0.5,1.2,7,5.5,0.73,2.56,31.24,72.05,94.02,37.22,2.81,176.11,2162.79,34.91,50.12,136.54
113.31,6.66,18.19,934.14,Amine-Grafted Silica,900.0,1.1,8,7.79,1.91,5.06,11.6,97.78,122.22,10.37,3.84,53.34,1194.83,31.21,298.07,180.16
76.56,3.57,12.44,1469.42,Activated Carbon,1200.0,1.5,6,5.72,1.02,4.38,47.26,64.33,144.32,13.58,5.51,216.82,1400.5,29.84,328.9,215.33
99.79,1.85,16.23,1653.03,Zeolite 13X,600.0,1.0,8,7.22,3.41,2.49,7.13,76.31,102.27,28.6,5.81,103.1,2025.87,34.03,415.36,504.57
105.34,2.2,15.6,1004.09,MOF-5,3500.0,0.8,9,7.65,0.54,5.05,5.43,94.1,115.27,39.2,3.73,122.6,4573.95,41.44,296.38,186.73
91.06,5.29,17.07,1251.86,MEA,0.5,1.2,7,7.72,4.54,4.33,55.33,66.59,118.17,33.45,1.64,197.65,1879.29,9.08,307.44,192.08
83.17,4.63,7.46,1294.53,MOF-5,3500.0,0.8,9,6.59,1.84,5.62,40.21,92.67,108.43,10.33,4.06,298.06,2138.64,19.58,142.6,213.08
70.29,8.07,5.61,1384.45,Activated Carbon,1200.0,1.5,6,8.12,3.06,5.73,14.16,53.97,118.36,31.1,4.4,285.95,2943.71,29.47,69.19,130.17
32.11,8.0,10.73,1702.0,Activated Carbon,1200.0,1.5,6,5.0,2.71,3.72,9.77,70.46,116.07,22.26,5.76,47.57,1708.82,24.89,267.54,321.51
50.94,4.8,14.11,1025.94,MOF-5,3500.0,0.8,9,8.18,2.95,2.11,51.5,59.54,130.52,32.74,7.02,88.29,3413.32,34.43,224.41,288.13
90.52,2.23,6.39,228.05,MEA,0.5,1.2,7,6.74,2.23,2.59,18.81,87.69,135.62,11.27,6.47,292.91,3916.15,48.85,18.59,76.91
70.28,1.03,11.72,1141.14,MEA,0.5,1.2,7,6.54,1.38,4.22,27.21,95.4,142.96,33.37,1.28,119.83,3022.0,33.93,231.27,257.36
51.33,1.59,18.9,1962.81,Activated Carbon,1200.0,1.5,6,5.32,2.21,5.15,19.74,64.17,97.34,29.98,1.91,119.21,2914.8,15.23,642.08,244.1
64.49,4.17,10.19,611.25,Zeolite 13X,600.0,1.0,8,7.06,2.07,5.26,21.41,68.68,112.91,37.57,1.31,108.03,4481.33,18.6,97.28,79.66
35.38,7.59,18.78,614.82,MEA,0.5,1.2,7,5.54,3.27,2.47,59.69,65.52,105.57,38.96,8.82,173.19,2743.2,34.39,186.9,162.43
72.36,9.29,19.14,345.75,MOF-5,3500.0,0.8,9,5.95,2.44,5.28,26.58,73.08,117.16,35.12,3.19,200.53,4137.32,45.58,113.17,47.76
36.1,1.98,13.1,1809.22,Amine-Grafted Silica,900.0,1.1,8,6.53,2.42,2.76,40.55,82.86,87.04,13.51,1.79,65.69,3234.35,45.83,378.72,541.2
71.21,1.3,12.41,1260.3,MEA,0.5,1.2,7,5.05,3.6,5.02,52.67,74.92,107.32,33.53,4.03,132.1,4734.6,44.97,217.62,187.72
109.96,3.94,6.41,1754.65,Amine-Grafted Silica,900.0,1.1,8,8.2,2.13,2.52,18.21,61.68,81.66,19.98,2.55,299.25,3130.14,18.32,147.19,427.77
85.25,2.21,19.33,1788.29,Activated Carbon,1200.0,1.5,6,8.73,1.47,3.57,53.18,55.18,109.16,27.06,4.31,184.32,3755.7,44.14,626.0,275.64
92.62,3.79,8.71,1110.46,MEA,0.5,1.2,7,6.04,4.95,4.27,34.58,69.93,130.68,13.7,5.85,183.9,4330.33,6.72,81.84,181.44
86.58,4.73,6.32,1952.38,MEA,0.5,1.2,7,8.33,3.9,3.95,36.14,74.49,100.76,17.08,6.0,249.72,719.16,40.96,92.61,367.25
36.99,2.95,18.86,1664.35,Activated Carbon,1200.0,1.5,6,8.46,4.56,4.17,13.67,68.44,109.18,35.28,1.42,105.9,4904.76,45.87,466.48,272.51
36.91,1.09,17.91,785.87,Activated Carbon,1200.0,1.5,6,5.45,3.26,3.02,47.19,65.98,94.1,22.79,1.5,53.49,4577.99,46.97,225.65,171.13
41.73,6.59,6.93,477.16,Amine-Grafted Silica,900.0,1.1,8,7.23,3.22,4.28,48.08,89.65,141.05,26.13,7.24,79.18,2824.82,12.22,34.7,99.71
76.78,1.1,12.23,1824.18,MOF-5,3500.0,0.8,9,6.85,2.17,3.84,51.69,64.46,84.76,18.12,5.42,183.66,3541.44,12.5,359.68,305.42
40.11,5.74,14.01,1318.37,MOF-5,3500.0,0.8,9,5.08,0.74,2.37,34.97,85.26,132.75,21.53,6.11,267.7,2743.77,45.46,342.9,472.29
67.33,1.18,15.91,975.05,MEA,0.5,1.2,7,7.71,1.43,4.98,16.7,80.31,132.73,23.07,8.57,40.93,2207.42,16.81,276.73,156.93
87.84,1.16,5.53,1090.99,Zeolite 13X,600.0,1.0,8,7.14,1.57,2.08,56.36,75.17,80.29,32.95,6.1,160.59,4079.78,38.46,84.68,392.39
55.69,9.58,15.11,710.24,MEA,0.5,1.2,7,5.73,3.49,4.89,39.97,80.15,135.54,11.22,6.48,276.06,3923.27,38.97,161.76,116.17
57.62,4.12,18.58,1144.61,Zeolite 13X,600.0,1.0,8,6.14,4.76,3.96,10.05,80.95,109.18,23.54,7.65,255.89,3566.63,9.42,310.04,233.39
78.31,8.83,18.71,1565.05,Amine-Grafted Silica,900.0,1.1,8,8.96,1.9,4.3,31.17,80.18,123.21,31.17,1.4,168.18,4423.81,15.61,515.65,291.15
88.02,1.8,6.37,1331.02,MOF-5,3500.0,0.8,9,6.98,2.13,5.93,11.77,52.02,86.26,19.5,3.44,154.63,1225.39,23.99,110.61,116.57
66.59,7.92,5.78,568.81,Amine-Grafted Silica,900.0,1.1,8,5.03,4.08,3.02,42.21,92.1,125.89,38.54,8.55,119.38,1574.17,40.6,18.95,172.9
88.19,6.52,13.92,1701.34,Activated Carbon,1200.0,1.5,6,5.48,4.1,2.56,29.7,71.62,101.98,25.29,7.69,141.9,1314.78,5.47,327.46,474.12
87.88,6.12,16.08,1826.22,MEA,0.5,1.2,7,8.64,4.15,5.09,56.48,50.85,131.97,28.28,2.17,249.76,4118.43,27.81,427.02,182.08
45.52,2.73,13.69,729.41,Amine-Grafted Silica,900.0,1.1,8,7.32,3.95,4.16,48.38,83.15,97.74,18.2,5.68,84.12,3979.94,37.39,139.25,145.44
104.21,1.46,6.9,1216.36,Zeolite 13X,600.0,1.0,8,5.16,4.44,2.99,40.01,65.2,149.77,25.5,7.7,177.95,3109.6,23.51,58.65,264.36
67.76,1.54,9.75,1586.51,Zeolite 13X,600.0,1.0,8,8.86,1.18,5.89,6.33,81.72,112.62,11.84,6.45,25.6,4181.58,25.14,266.49,219.75
118.82,2.54,10.22,1913.84,Amine-Grafted Silica,900.0,1.1,8,6.39,1.27,2.9,50.64,68.12,130.61,22.04,7.98,254.14,1570.82,10.67,335.73,448.01
42.91,6.9,7.11,1877.86,MEA,0.5,1.2,7,5.64,4.43,5.35,5.59,80.02,122.64,21.26,5.52,72.22,4838.2,26.12,98.64,280.35
119.39,1.6,18.66,498.7,Activated Carbon,1200.0,1.5,6,6.7,0.63,2.57,40.08,57.81,118.74,37.76,2.6,248.12,3516.46,22.48,176.23,111.74
90.98,1.55,15.55,1480.58,Activated Carbon,1200.0,1.5,6,8.45,2.79,4.55,10.3,65.61,94.92,17.54,1.56,262.89,4612.66,28.34,370.29,213.03
101.69,9.79,17.49,1035.12,Amine-Grafted Silica,900.0,1.1,8,5.44,3.7,5.64,45.82,63.08,113.11,29.91,5.82,182.11,3906.4,42.55,279.78,115.57
112.17,7.54,15.13,1483.97,MOF-5,3500.0,0.8,9,7.99,1.76,5.39,39.59,69.97,112.6,13.44,9.95,158.0,2286.72,12.2,388.88,192.28
113.97,5.4,16.17,1870.84,Activated Carbon,1200.0,1.5,6,8.01,2.44,2.96,5.32,70.14,108.84,38.04,0.94,204.9,1253.45,6.6,503.46,441.82
52.55,9.04,15.28,791.82,Zeolite 13X,600.0,1.0,8,8.26,0.87,2.17,29.89,76.52,87.25,18.79,6.58,153.65,1111.29,32.14,223.64,277.94
58.46,5.16,8.26,1584.24,MOF-5,3500.0,0.8,9,5.95,1.08,4.44,38.34,55.29,134.34,26.44,8.33,40.51,4574.71,41.29,222.95,196.84
90.61,3.51,17.49,312.87,MOF-5,3500.0,0.8,9,8.56,2.47,2.88,48.86,72.97,100.66,36.76,0.53,267.3,2947.8,36.79,92.11,79.0
32.52,4.03,17.47,996.66,Activated Carbon,1200.0,1.5,6,7.09,4.74,2.71,30.78,91.41,106.75,17.68,4.15,287.56,1634.12,12.14,248.67,334.94
85.93,5.47,16.46,477.27,Activated Carbon,1200.0,1.5,6,5.47,2.85,2.79,12.1,72.53,89.29,28.69,8.78,24.94,2690.26,32.88,127.31,123.63
118.38,4.68,18.84,203.03,Activated Carbon,1200.0,1.5,6,5.49,3.31,3.75,44.0,52.13,132.2,34.18,2.39,200.91,790.36,34.08,61.8,28.15
40.61,6.55,9.36,840.72,Zeolite 13X,600.0,1.0,8,8.85,1.69,5.49,44.6,96.7,128.37,28.18,7.17,79.56,4232.52,42.66,126.39,147.81
60.11,2.31,18.7,656.45,Amine-Grafted Silica,900.0,1.1,8,5.04,2.55,4.95,34.07,75.87,148.22,38.3,3.12,197.0,3025.44,43.6,207.79,100.41
94.65,5.1,8.85,1205.54,Activated Carbon,1200.0,1.5,6,5.91,1.5,5.69,52.47,98.36,141.42,24.64,3.6,282.4,3410.84,18.56,173.67,208.03
43.28,5.33,10.32,1172.6,MOF-5,3500.0,0.8,9,6.92,1.39,3.58,43.99,51.71,90.38,25.98,9.94,208.1,4710.02,19.46,205.24,168.9
32.43,5.53,7.2,1643.82,Zeolite 13X,600.0,1.0,8,6.41,3.24,4.43,26.14,84.7,110.33,32.98,5.07,189.91,1549.49,42.72,127.59,313.58
105.53,1.78,17.1,889.07,Zeolite 13X,600.0,1.0,8,8.56,2.22,5.99,13.06,84.26,137.79,30.8,4.09,22.53,4554.9,5.95,259.3,124.86
113.77,1.37,18.74,279.88,MEA,0.5,1.2,7,7.1,0.74,2.15,19.9,95.76,142.59,29.34,3.73,293.89,3142.23,47.89,98.74,124.08
111.15,5.78,11.6,1047.67,MOF-5,3500.0,0.8,9,8.42,4.66,2.45,49.85,76.68,95.32,18.0,7.22,62.5,616.1,43.12,142.51,326.57
50.32,2.57,8.04,1627.2,Amine-Grafted Silica,900.0,1.1,8,5.14,3.9,2.3,20.11,97.16,112.47,15.65,8.37,215.11,3195.34,10.58,132.04,684.41
85.68,9.08,16.73,470.34,Amine-Grafted Silica,900.0,1.1,8,8.89,3.9,5.22,31.5,77.22,134.57,38.66,4.5,101.95,3949.24,29.43,118.28,69.44
30.37,9.29,16.78,866.74,MEA,0.5,1.2,7,5.12,4.69,5.99,14.83,63.84,129.47,18.86,1.81,104.24,1894.61,27.14,205.39,92.22
75.45,2.59,6.1,1711.26,MEA,0.5,1.2,7,7.19,1.73,5.39,51.72,86.06,95.68,13.25,4.39,69.64,2179.37,47.66,146.57,272.72
105.16,7.53,12.09,1541.24,Amine-Grafted Silica,900.0,1.1,8,5.48,2.69,4.47,24.82,53.48,144.09,22.67,6.83,113.18,4952.81,41.06,283.96,183.99
65.22,9.59,17.15,450.26,Activated Carbon,1200.0,1.5,6,6.07,1.69,2.27,17.16,70.28,96.12,13.11,6.42,101.85,3481.17,13.99,136.44,138.79
92.38,3.57,10.62,971.22,Zeolite 13X,600.0,1.0,8,5.7,2.49,3.68,36.72,74.27,132.33,33.73,4.81,233.04,2397.82,38.26,154.76,195.48
34.0,4.47,15.65,882.44,Amine-Grafted Silica,900.0,1.1,8,8.18,3.92,5.5,8.71,82.38,143.44,29.32,4.12,171.59,3088.6,39.25,202.88,131.93
80.43,5.32,9.82,1490.25,MEA,0.5,1.2,7,8.55,3.36,4.68,59.63,57.1,116.51,31.44,5.64,111.22,2331.31,40.11,188.69,181.44
91.55,2.56,5.93,269.93,Amine-Grafted Silica,900.0,1.1,8,5.47,4.32,3.62,57.38,56.82,128.3,25.13,3.04,176.16,1120.67,28.3,8.52,42.25
83.58,2.37,7.49,1381.7,MEA,0.5,1.2,7,5.28,4.91,5.79,33.08,93.06,90.72,24.75,9.57,103.8,3902.83,46.38,69.87,221.69
101.6,1.69,12.96,664.5,MOF-5,3500.0,0.8,9,8.25,1.25,4.18,35.43,92.18,111.77,19.45,3.74,80.2,1774.7,19.06,152.51,146.19
70.48,8.67,12.99,333.98,MEA,0.5,1.2,7,5.33,2.43,4.12,20.93,73.62,110.93,25.59,5.1,213.77,661.24,34.05,69.13,59.53
39.09,2.74,12.62,951.41,Amine-Grafted Silica,900.0,1.1,8,5.85,1.97,4.06,18.91,87.66,115.8,31.67,3.14,44.42,4032.58,7.34,198.6,204.92
77.71,1.56,8.31,638.93,Activated Carbon,1200.0,1.5,6,7.94,3.9,2.41,55.63,59.26,139.04,20.49,9.23,292.06,2381.5,39.12,55.23,156.46
83.96,1.2,5.5,461.35,Zeolite 13X,600.0,1.0,8,8.89,4.88,2.59,8.89,93.54,119.0,26.25,8.39,170.66,2588.63,13.11,5.61,165.98
59.86,6.84,17.54,744.41,MEA,0.5,1.2,7,8.9,4.02,5.12,23.63,96.04,112.89,12.73,2.17,31.64,1367.8,32.34,197.26,139.36
109.69,6.31,7.85,485.0,Activated Carbon,1200.0,1.5,6,5.08,3.7,3.19,13.82,61.04,122.08,20.2,7.46,54.86,2215.32,41.94,39.45,92.51
102.74,9.79,17.95,212.11,Zeolite 13X,600.0,1.0,8,6.71,2.81,3.21,45.98,86.08,108.86,16.32,1.58,114.31,2886.88,23.1,62.94,56.7
42.25,6.05,9.39,681.37,Zeolite 13X,600.0,1.0,8,6.57,2.12,5.68,13.9,69.87,116.0,25.88,5.62,217.86,3029.16,25.86,97.09,83.67
58.19,3.3,18.08,1596.71,MOF-5,3500.0,0.8,9,7.83,1.92,2.71,48.22,78.59,146.05,39.27,6.16,41.19,2539.63,19.97,505.74,461.34
93.89,2.47,11.37,563.07,Amine-Grafted Silica,900.0,1.1,8,6.42,1.5,5.0,33.94,94.3,136.7,19.46,6.07,191.52,4773.6,48.04,108.93,105.98
70.61,9.6,6.46,1579.68,MOF-5,3500.0,0.8,9,6.25,4.47,4.13,28.28,63.59,148.88,18.69,6.5,247.32,1913.52,36.92,61.61,242.64
99.32,9.4,15.48,173.84,Amine-Grafted Silica,900.0,1.1,8,6.19,4.99,4.97,15.08,92.76,115.23,33.4,3.12,44.12,989.41,13.47,35.74,32.38
88.2,2.54,8.16,784.34,MEA,0.5,1.2,7,6.0,3.87,4.48,53.33,65.25,93.28,34.73,7.46,171.69,1190.61,32.77,65.95,113.98
90.63,4.7,11.57,1715.16,MEA,0.5,1.2,7,8.47,2.8,3.1,18.6,79.03,139.64,23.73,0.79,148.23,844.3,48.49,294.82,435.85
99.07,8.87,15.15,199.25,MEA,0.5,1.2,7,7.43,4.75,3.05,24.45,92.66,117.11,38.18,3.57,187.95,2267.13,42.93,40.62,60.33
102.91,2.78,5.17,721.87,Zeolite 13X,600.0,1.0,8,5.67,1.55,2.45,38.96,67.47,111.24,14.95,4.79,291.04,2914.12,21.85,51.22,197.99
89.24,3.0,12.31,163.4,Activated Carbon,1200.0,1.5,6,8.58,3.19,3.49,39.52,83.86,91.31,32.86,6.75,177.63,3258.15,44.52,29.21,39.15
53.01,9.3,5.99,1939.76,Amine-Grafted Silica,900.0,1.1,8,6.18,3.31,2.71,58.06,92.28,105.16,18.57,9.78,208.8,865.98,19.15,101.89,658.09
108.18,6.52,13.31,920.1,MEA,0.5,1.2,7,8.23,3.11,2.54,31.38,69.52,138.55,36.75,2.43,164.86,4940.42,48.32,183.95,250.84
33.55,4.47,13.38,236.39,Activated Carbon,1200.0,1.5,6,6.92,4.95,2.18,6.61,62.92,97.89,18.31,6.52,98.68,1533.56,49.94,39.06,67.92
46.76,8.53,17.65,294.39,MEA,0.5,1.2,7,5.73,4.44,3.09,34.87,95.36,119.05,34.83,7.46,123.5,2750.95,30.25,76.22,90.56
109.34,8.84,19.95,1677.07,MEA,0.5,1.2,7,8.38,4.86,2.36,53.01,94.94,149.37,39.35,6.45,89.22,3740.8,40.76,496.02,671.82
75.05,8.26,14.68,1902.42,Zeolite 13X,600.0,1.0,8,5.42,2.3,5.61,58.94,93.0,94.31,38.3,7.58,38.84,3607.98,28.16,461.62,314.81
